Timestamp,1 - What is your current situation regarding the CC course?,2- In which year and semester did you enroll in the CC course? Example 2007.1,"3 - In which semester did you end up, quit or are you currently? Example 2010.1",4 - Before joining the course did you already have any experience with the Computing area or did you have information about it?,5 - Before you went to university did you study in what kind of school?,"6 - If you studied in a public school, what type of institution?",7 - Before entering the university in which city / state did you live? Example Mombasa / CE,8 - Upon entering the university did you move to Mossoró / RN?,9 - Did you live in the academic village?,10 - What is the monthly income of your family when you enter university?,11 - Which race do you consider yourself to belong to?,12 - Did you get any scholarships during the period you were in the course?,"13 - In relation to your academic achievement, until the second semester of the course did you go?",14 - Do you consider that during the period that was in the course had the proper accompaniment of the university? Example: PROAE or Coordination of the course.,15 - Do you consider that the curriculum of the CC course is adequate to what is required in the job market?,"16 - In relation to the chain of prerequisites of the course subjects, do you consider appropriate?","17 - In relation to the criteria for assessing student performance, do you consider appropriate?","18 - Regarding the infrastructure of the institution such as laboratories, libraries, computer equipment ... do you consider appropriate?","19 - Regarding teachers, do you consider that they have pedagogical deficiencies, lack of interest or other problems?",20 - Do you consider that the careers related to the CC course are socially recognized?,"21 - In relation to the market, do you consider that the professional trained in CC is properly paid?","22 - In relation to the country, during the period that you were in the course, were they married?","23 - Regarding your mother, what is her level of education?","24 - Regarding your father, what is his level of education?","25 - If you have dropped out of the course, what is the main reason you gave up?",26 - Do you want to make any consideration / suggestion regarding the course or any point that you deem important?
2019/03/23 10:10:38 AM GMT-3,conclusive,2010.2,2017.2,Yes,Private,nan,Areia Branca/RN,No,No,More than 3000 reais,Yellow,Yes,Disapproved in more than five disciplines,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Complete high school,Full technical education,nan,nan
2019/03/23 10:11:46 AM GMT-3,conclusive,2006.2,2011.1,No,Private,nan,Mossoró/RN,I already lived in Mossoró / RN,Yes,More than 3000 reais,White,Yes,Approved in all subjects,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Complete primary education,Complete high school,nan,nan
2019/03/23 10:14:15 AM GMT-3,conclusive,2010.2,2016.1,No,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1001 and 1500 reais,Black,No,Approved in all subjects,No,No,Yes,No,No,Yes,Yes,No,Yes,Complete high school,Complete high school,nan,nan
2019/03/23 10:22:01 AM GMT-3,conclusive,2012.1,2016.2,No,Private,nan,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,Yes,Approved in all subjects,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Higher Education Complete,Complete high school,nan,nan
2019/03/23 10:27:30 AM GMT-3,conclusive,2011.2,2017.2,Yes,Private,nan,Cajazeiras/PB,Yes,No,More than 3000 reais,White,Yes,Disapproved in more than five disciplines,No,No,No,No,Yes,Yes,No,No,Yes,Complete Postgraduate Diploma,Complete Postgraduate Diploma,nan,"The number of elective courses should be as high as possible, in percentage, so that the student chooses the profile that most identifies for their future"
2019/03/23 10:27:53 AM GMT-3,Desist,2013.1,2017.2,Yes,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1501 and 2000 reais,Brown,No,Disapproved in two disciplines,No,No,Yes,No,No,Yes,No,No,Yes,Complete primary education,Incomplete higher education,"My immaturity, the institution and the teachers",Not tirando a autorresponsabilidade dos alunos. Mas os professores deveriam melhorar sua didática para ajudar a manter a atenção dos alunos
2019/03/23 10:31:15 AM GMT-3,I migrated for analysis and development of systems,2012.2,2013.1,Yes,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,Between 2001 and 2500 reais,White,No,Disapproved in two disciplines,No,No,No,No,Yes,Yes,Yes,No,Yes,Complete Postgraduate Diploma,Incomplete elementary school,I needed to change my city for reasons of opportunities in the area of ​​software development.,"The academic environment takes a long time to adapt to the needs of the market.
That is, the technologies used for the foundation of concepts are inadequate if compared to what is used in the labor market."
2019/03/23 10:39:52 AM GMT-3,Desist,2017.1,2018.1,Yes,Public,School State,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1001 and 1500 reais,White,No,Disapproved in more than five disciplines,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Incomplete high school,Complete high school,Lack of interest in the course was not what I expected.,nan
2019/03/23 10:45:21 AM GMT-3,conclusive,2006.2,2010.2,Yes,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,Yes,Approved in all subjects,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Complete Postgraduate Diploma,Complete Postgraduate Diploma,nan,nan
2019/03/23 10:52:40 AM GMT-3,Desist,2012.2 e 2018.1,2013.2 e 2018.1,Yes,Private,None of the options,Apodi/RN ,No,No,Between 1501 and 2000 reais,White,No,Disapproved in three disciplines,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Incomplete elementary school,Incomplete high school,Job,"I really liked the little I did the course, great university and very pulled, but one thing that motivated me more to leave was because it is not a course geared towards what I have vocation, that is, electronic part. I did it because it was the closest course in my area."
